Serial Number,Error Type,Ungrammatical Statement,Standard English
1606,Ellipsis Errors,The interview went well... got the job.,"The interview went well, and I got the job."
1607,Ellipsis Errors,The recipe is simple... requires few ingredients.,The recipe is simple and requires few ingredients.
1608,Ellipsis Errors,He's a great actor... not in many movies.,"He's a great actor, but he's not in many movies."
1609,Ellipsis Errors,The weather is nice... perfect for a picnic.,"The weather is nice, making it perfect for a picnic."
1610,Ellipsis Errors,The beach was crowded... had a great time.,"The beach was crowded, but we still had a great time."
1611,Ellipsis Errors,The food was spicy... enjoyed it.,"The food was spicy, but I enjoyed it."
1612,Ellipsis Errors,The project is challenging... making good progress.,"The project is challenging, but we're making good progress."
1613,Ellipsis Errors,The hotel is luxurious... expensive.,The hotel is luxurious but expensive.
1614,Ellipsis Errors,The deadline is tight... confident we'll finish on time.,"The deadline is tight, but I'm confident we'll finish on time."
1615,Ellipsis Errors,The phone is old... still works well.,"The phone is old, but it still works well."
1616,Ellipsis Errors,It's a long drive... worth the trip.,"It's a long drive, but it's worth the trip."
1617,Ellipsis Errors,The garden is beautiful... requires a lot of maintenance.,"The garden is beautiful, but it requires a lot of maintenance."
1618,Ellipsis Errors,The store was closed... managed to find what I needed online.,"The store was closed, but I managed to find what I needed online."
1619,Ellipsis Errors,She's a great cook... doesn't like to bake.,"She's a great cook, but she doesn't like to bake."
1620,Ellipsis Errors,I'm tired... need to finish this work.,"I'm tired, but I need to finish this work."
1621,Ellipsis Errors,The view was amazing... hard to reach the top.,"The view was amazing, but it was hard to reach the top."
1622,"Slang, Jargon, and Colloquialisms",1. Ain't no way I'm going to that party.,1. There's no way I'm going to that party.
1623,"Slang, Jargon, and Colloquialisms","2. Imma gonna pick up some grub, ya hungry?","2. I'm going to pick up some food, are you hungry?"
1624,"Slang, Jargon, and Colloquialisms",3. She don't know nothing about them computers.,3. She doesn't know anything about those computers.
1625,"Slang, Jargon, and Colloquialisms",4. We was walking to the store when it started raining.,4. We were walking to the store when it started raining.
1626,"Slang, Jargon, and Colloquialisms",5. Me and him went to the movies last night.,5. He and I went to the movies last night.
1627,"Slang, Jargon, and Colloquialisms",6. Could you gimme some advice on this essay?,6. Could you give me some advice on this essay?
1628,"Slang, Jargon, and Colloquialisms","7. You better not be late to the meeting, or else.","7. You should not be late to the meeting, or there will be consequences."
1629,"Slang, Jargon, and Colloquialisms","8. The CPU's got 16 cores, which ain't bad.","8. The CPU has 16 cores, which isn't bad."
1630,"Slang, Jargon, and Colloquialisms","9. He's a big ol' boy, ain't he?","9. He's a big boy, isn't he?"
1631,"Slang, Jargon, and Colloquialisms",10. Lemme know when you're ready to leave.,10. Let me know when you're ready to leave.
1632,"Slang, Jargon, and Colloquialisms",11. I dunno where the keys are.,11. I don't know where the keys are.
1633,"Slang, Jargon, and Colloquialisms",12. You got any idea how to fix this?,12. Do you have any idea how to fix this?
1634,"Slang, Jargon, and Colloquialisms",13. The new hire's a real whiz kid in Python coding.,13. The new hire is highly skilled in Python programming.
1635,"Slang, Jargon, and Colloquialisms","14. My cellphone's battery is at 5%, I gotta charge it.","14. My cellphone's battery is at 5%, I need to charge it."
1636,"Slang, Jargon, and Colloquialisms",15. She's the kinda person who's always late.,15. She's the type of person who's always late.
1637,"Slang, Jargon, and Colloquialisms",16. They be doing the most to impress the boss.,16. They are always going above and beyond to impress the boss.
1638,"Slang, Jargon, and Colloquialisms",17. The photog took some great snaps at the wedding.,17. The photographer took some great photos at the wedding.
1639,"Slang, Jargon, and Colloquialisms",18. You oughta try this new sushi place.,18. You should try this new sushi place.
1640,"Slang, Jargon, and Colloquialisms","19. The app's UX is kinda clunky, if you ask me.","19. The app's user experience is somewhat clunky, in my opinion."
1641,"Slang, Jargon, and Colloquialisms",20. He's gonna need a new hard drive for his comp.,20. He's going to need a new hard drive for his computer.
1642,"Slang, Jargon, and Colloquialisms",21. Can't you just chill for a sec?,21. Can't you just relax for a moment?
1643,"Slang, Jargon, and Colloquialisms",22. The client's server got a DDoS attack last night.,22. The client's server experienced a distributed denial-of-service attack last night.
1644,"Slang, Jargon, and Colloquialisms",23. The company's CEO is a real hardass.,23. The company's CEO is very strict.
1645,"Slang, Jargon, and Colloquialisms",24. I dunno if I can make it to the party tonight.,24. I don't know if I can make it to the party tonight.
1646,"Slang, Jargon, and Colloquialisms",25. They're gonna demo their new product at the expo.,25. They're going to demonstrate their new product at the expo.
1647,"Slang, Jargon, and Colloquialisms",26. You wanna grab some dinner later?,26. Do you want to have dinner later?
1648,"Slang, Jargon, and Colloquialisms",27. The plumber had to fix the busted pipe.,27. The plumber had to repair the broken pipe.
1649,"Slang, Jargon, and Colloquialisms",28. I gotta get this report done by tomorrow.,28. I have to finish this report by tomorrow.
1650,"Slang, Jargon, and Colloquialisms",29. That rollercoaster was hella fun!,29. That rollercoaster was extremely fun!
1651,"Slang, Jargon, and Colloquialisms","30. I can't stand the cold, it's way too friggin' cold.","30. I can't stand the cold, it's much too cold."
1652,"Slang, Jargon, and Colloquialisms",31. They didn't do jack to help with the project.,31. They didn't do anything to help with the project.
1653,"Slang, Jargon, and Colloquialisms",32. She's been feeling kinda meh lately.,32. She's been feeling somewhat indifferent lately.
1654,"Slang, Jargon, and Colloquialisms",33. The cop gave him a ticket for speeding.,33. The police officer gave him a ticket for speeding.
1655,"Slang, Jargon, and Colloquialisms",34. The hacker used a zero-day exploit to compromise the system.,34. The hacker used an unknown vulnerability to compromise the system.
1656,"Slang, Jargon, and Colloquialisms",35. She's got mad skills on the basketball court.,35. She has exceptional skills on the basketball court.
1657,"Slang, Jargon, and Colloquialisms",36. I'm gonna head to the gym after work.,36. I'm going to the gym after work.
1658,"Slang, Jargon, and Colloquialisms",37. He's got a lot of irons in the fire right now.,37. He's currently involved in many projects.
1659,"Slang, Jargon, and Colloquialisms",38. The boss ain't gonna be happy about this.,38. The boss isn't going to be happy about this.
1660,"Slang, Jargon, and Colloquialisms",39. Can you send me the deets for the event?,39. Can you send me the details for the event?
1661,"Slang, Jargon, and Colloquialisms",40. The marketing team's gonna brainstorm some new ideas.,40. The marketing team is going to brainstorm some new ideas.
1662,"Slang, Jargon, and Colloquialisms",41. You shoulda seen the look on her face!,41. You should have seen the look on her face!
1663,"Slang, Jargon, and Colloquialisms","42. My car's been acting up, gotta get it checked.","42. My car has been having issues, I need to get it checked."
1664,"Slang, Jargon, and Colloquialisms",43. He's been working on a top-secret government project.,43. He's been working on a classified government project.
1665,"Slang, Jargon, and Colloquialisms",44. The new intern's a total go-getter.,44. The new intern is highly motivated.
1666,"Slang, Jargon, and Colloquialisms",45. The chef cooked up some delish dishes.,45. The chef prepared some delicious dishes.
1667,"Slang, Jargon, and Colloquialisms",46. The athlete's been hitting the gym like crazy.,46. The athlete has been training intensely at the gym.
1668,"Slang, Jargon, and Colloquialisms",47. That movie was a total snoozefest.,47. That movie was extremely boring.
1669,"Slang, Jargon, and Colloquialisms",48. The IT guy had to come fix the glitchy software.,48. The IT specialist had to come repair the malfunctioning software.
1670,"Slang, Jargon, and Colloquialisms",49. He's got a knack for fixing busted tech.,49. He has a talent for repairing broken technology.
1671,"Slang, Jargon, and Colloquialisms",50. The artist's new album is gonna drop next week.,50. The artist's new album is going to be released next week.
1672,Clichés,He's at end of his rope.,He's at the end of his rope.
1673,Clichés,She got quick and the dead.,She was quick and the dead.
1674,Clichés,That's music my ears.,That's music to my ears.
1675,Clichés,She bite off more than chew.,She bit off more than she could chew.
1676,Clichés,Your guess good as mine.,Your guess is as good as mine.
1677,Clichés,You're barking the wrong tree.,You're barking up the wrong tree.
1678,Clichés,He's just tip of the iceberg.,He's just the tip of the iceberg.
1679,Clichés,He's trying to reinvent wheel.,He's trying to reinvent the wheel.
1680,Clichés,They putting all eggs one basket.,They are putting all their eggs in one basket.
1681,Clichés,You can't have cake eat it too.,You can't have your cake and eat it too.
1682,Clichés,He's burning candle both ends.,He's burning the candle at both ends.
1683,Clichés,She's apple of her father's eye.,She's the apple of her father's eye.
1684,Clichés,The team went back drawing board.,The team went back to the drawing board.
1685,Clichés,It's blessing disguise.,It's a blessing in disguise.
1686,Clichés,She's trying to find needle haystack.,She's trying to find a needle in a haystack.
1687,Clichés,You're comparing apples oranges.,You're comparing apples to oranges.
1688,Clichés,That's elephant room.,That's the elephant in the room.
1689,Clichés,They have axe grind.,They have an axe to grind.
1690,Clichés,Don't count chickens they hatch.,Don't count your chickens before they hatch.
1691,Clichés,He's chip off old block.,He's a chip off the old block.
1692,Clichés,We need think outside box.,We need to think outside the box.
1693,Clichés,He's dime a dozen.,He's a dime a dozen.
1694,Clichés,Actions louder than words.,Actions speak louder than words.
1695,Clichés,Opportunity knocks once.,Opportunity only knocks once.
1696,Clichés,I've got bigger fish fry.,I've got bigger fish to fry.
1697,Clichés,"It's six one, half dozen other.","It's six of one, half a dozen of the other."
1698,Clichés,It's best both worlds.,It's the best of both worlds.
1699,Clichés,She's caught between rock hard place.,She's caught between a rock and a hard place.
1700,Clichés,It's calm before storm.,It's the calm before the storm.
1701,Clichés,They're cutting their nose spite face.,They're cutting off their nose to spite their face.
1702,Clichés,He's devil's advocate.,He's playing devil's advocate.
1703,Clichés,He's adding fuel fire.,He's adding fuel to the fire.
1704,Clichés,He's giving cold shoulder.,He's giving her the cold shoulder.
1705,Clichés,It's hard nut crack.,It's a hard nut to crack.
1706,Clichés,He's hitting two birds stone.,He's hitting two birds with one stone.
1707,Clichés,They're jumping the bandwagon.,They're jumping on the bandwagon.
1708,Clichés,She's making mountain molehill.,She's making a mountain out of a molehill.
1709,Clichés,He's not sharpest tool shed.,He's not the sharpest tool in the shed.
1710,Clichés,It's raining cats dogs.,It's raining cats and dogs.
1711,Clichés,They're reading between lines.,They're reading between the lines.
1712,Clichés,He's taking bull horns.,He's taking the bull by the horns.
1713,Clichés,They're throwing baby bathwater.,They're throwing the baby out with the bathwater.
1714,Clichés,Time flies you fun.,Time flies when you're having fun.
1715,Clichés,He's turning blind eye.,He's turning a blind eye.
1716,Clichés,It's whole new ball game.,It's a whole new ball game.
1717,Clichés,That's wolf sheep's clothing.,That's a wolf in sheep's clothing.
1718,Clichés,He's wearing heart sleeve.,He's wearing his heart on his sleeve.
1719,Clichés,You can't judge book cover.,You can't judge a book by its cover.
1720,Abbreviation Errors,"He works at FB, but I work at MS.","He works at Facebook, but I work at Microsoft."
1721,Abbreviation Errors,My bro just joined the USMC yday.,My brother just joined the United States Marine Corps yesterday.
1722,Abbreviation Errors,"I'll be there ASAP, pls wait.","I'll be there as soon as possible, please wait."
1723,Abbreviation Errors,"She's a prof at UCLA, in the CS dept.","She's a professor at the University of California, Los Angeles, in the Computer Science department."
1724,Abbreviation Errors,The engine has 200hp and 300lb-ft tq.,The engine has 200 horsepower and 300 pound-feet of torque.
1725,Abbreviation Errors,"In the meeting, they discussed GDPR and CCPA cmp.","In the meeting, they discussed General Data Protection Regulation and California Consumer Privacy Act compliance."
1726,Abbreviation Errors,"My new TV has HDMI, USB, and BT cnct.","My new TV has High-Definition Multimedia Interface, Universal Serial Bus, and Bluetooth connectivity."
1727,Abbreviation Errors,The doc prescribed me NSAIDs for my pain.,The doctor prescribed me nonsteroidal anti-inflammatory drugs for my pain.
1728,Abbreviation Errors,"The pkg was del'd by USPS, not UPS.","The package was delivered by United States Postal Service, not United Parcel Service."
1729,Abbreviation Errors,Their business model involves B2B and B2C svs.,Their business model involves business-to-business and business-to-consumer services.
1730,Abbreviation Errors,The H2O lvl in the tank is getting low.,The water level in the tank is getting low.
1731,Abbreviation Errors,I think they use AI and ML in their app.,I think they use artificial intelligence and machine learning in their app.
1732,Abbreviation Errors,"Plz send me the PDF, not the DOC file.","Please send me the Portable Document Format, not the Word Document file."
1733,Abbreviation Errors,They're going to visit the MOMA nxt wk.,They're going to visit the Museum of Modern Art next week.
1734,Abbreviation Errors,My fav band is playing at SXSW this yr.,My favorite band is playing at South by Southwest this year.
1735,Abbreviation Errors,The atm in the mall is out of svc.,The automated teller machine in the mall is out of service.
1736,Abbreviation Errors,"My phone has GPS, but it's not v accurate.","My phone has Global Positioning System, but it's not very accurate."
1737,Abbreviation Errors,"I've been feeling v tired lately, IDK why.","I've been feeling very tired lately, I don't know why."
1738,Abbreviation Errors,The govt is considering new reg's for CO2 ems.,The government is considering new regulations for carbon dioxide emissions.
1739,Abbreviation Errors,"The org is a non-profit, it's a 501c3.","The organization is a non-profit, it's a 501(c)(3)."
1740,Abbreviation Errors,I need to buy a new SSD for my cmp.,I need to buy a new solid-state drive for my computer.
1741,Abbreviation Errors,The CPU and GPU of the sys are quite powerful.,The central processing unit and graphics processing unit of the system are quite powerful.
1742,Abbreviation Errors,I'll be traveling to the UK and the EU nxt mth.,I'll be traveling to the United Kingdom and the European Union next month.
1743,Abbreviation Errors,He'll be attending the conf on IoT and 5G tech.,He'll be attending the conference on the Internet of Things and 5G technology.
1744,Abbreviation Errors,The recipe calls for 1tsp of salt and 2tbsp of sugar.,The recipe calls for 1 teaspoon of salt and 2 tablespoons of sugar.
1745,Abbreviation Errors,The car's fuel eff is rated at 35mpg on hwy.,The car's fuel efficiency is rated at 35 miles per gallon on the highway.
1746,Abbreviation Errors,The new OS update includes many UX/UI impr.,The new operating system update includes many user experience/user interface improvements.
1747,Abbreviation Errors,The article was pub'd in the NYT last wk.,The article was published in the New York Times last week.
1748,Abbreviation Errors,The rpt states that GDP growth has slowed.,The report states that gross domestic product growth has slowed.
1749,Abbreviation Errors,The sci study focused on DNA and RNA strc.,The scientific study focused on deoxyribonucleic acid and ribonucleic acid structures.
1750,Abbreviation Errors,"She's a great actr, she won an Oscar last yr.","She's a great actress, she won an Academy Award last year."
1751,Abbreviation Errors,They're launching a new SaaS product nxt qtr.,They're launching a new Software as a Service product next quarter.
1752,Abbreviation Errors,The avg temp in the city is 75°F in the sum.,The average temperature in the city is 75 degrees Fahrenheit in the summer.
1753,Abbreviation Errors,He's an expert in SEO and SEM strat.,He's an expert in search engine optimization and search engine marketing strategies.
1754,Abbreviation Errors,The team is focusing on R&D for the proj.,The team is focusing on research and development for the project.
1755,Abbreviation Errors,The UN has declared a new initiative for SDGs.,The United Nations has declared a new initiative for Sustainable Development Goals.
1756,Abbreviation Errors,The hotel offers free Wi-Fi and a cont'l bfast.,The hotel offers free wireless internet and a continental breakfast.
1757,Abbreviation Errors,The ct scan revealed no abnormalities.,The computed tomography scan revealed no abnormalities.
1758,Abbreviation Errors,The pkg includes a tkt to the theme park and htl stay.,The package includes a ticket to the theme park and hotel stay.
1759,Abbreviation Errors,The stm't from the CEO addressed the recent prblms.,The statement from the chief executive officer addressed the recent problems.
1760,Abbreviation Errors,"My flight was del'd, so I'll arr late.","My flight was delayed, so I'll arrive late."
1761,Abbreviation Errors,The co is implementing new CSR policies.,The company is implementing new corporate social responsibility policies.
1762,Abbreviation Errors,She's a memb of the PTA at her child's school.,She's a member of the Parent-Teacher Association at her child's school.
1763,Abbreviation Errors,The weather rpt calls for rain tmrw.,The weather report calls for rain tomorrow.
1764,Abbreviation Errors,The doc will perform an MRI to check for any issues.,The doctor will perform a magnetic resonance imaging to check for any issues.
1765,Abbreviation Errors,"The smrtph has a 5.5"" OLED display.",The smartphone has a 5.5-inch organic light-emitting diode display.
1766,Abbreviation Errors,The new bldg will be LEED certified.,The new building will be Leadership in Energy and Environmental Design certified.
1767,Abbreviation Errors,The recipe calls for 1lb of grd beef.,The recipe calls for 1 pound of ground beef.
1768,Abbreviation Errors,The new law will be eff from Jan 1st.,The new law will be effective from January 1st.
1769,Abbreviation Errors,The fin'l stmnts must be audited by a CPA.,The financial statements must be audited by a Certified Public Accountant.
1770,Contractions Errors,"It's door is locked, we can't get in.","Its door is locked, we can't get in."
1771,Contractions Errors,I don't know where it's key is.,I don't know where its key is.
1772,Contractions Errors,She's phone is out of battery.,Her phone is out of battery.
1773,Contractions Errors,"He's a doctor, but he's patients don't like him.","He's a doctor, but his patients don't like him."
1774,Contractions Errors,Their's a new movie coming out this week.,There's a new movie coming out this week.
1775,Contractions Errors,It's not easy to decide which's the best option.,It's not easy to decide which is the best option.
1776,Contractions Errors,They're dog has been missing since yesterday.,Their dog has been missing since yesterday.
1777,Contractions Errors,The company is known for it's innovations.,The company is known for its innovations.
1778,Contractions Errors,"That's a nice shirt, where did you get it's design?","That's a nice shirt, where did you get its design?"
1779,Contractions Errors,"I can't find my wallet, it's owner must be worried.","I can't find my wallet, its owner must be worried."
1780,Contractions Errors,"We're going to the park, but their's no parking nearby.","We're going to the park, but there's no parking nearby."
1781,Contractions Errors,It's color is fading after multiple washes.,Its color is fading after multiple washes.
1782,Contractions Errors,The cat hurt it's paw while climbing the tree.,The cat hurt its paw while climbing the tree.
1783,Contractions Errors,She's book is on the table.,Her book is on the table.
1784,Contractions Errors,The flowers in the garden lost they're color.,The flowers in the garden lost their color.
1785,Contractions Errors,"The computer has a virus, it's system is slow.","The computer has a virus, its system is slow."
1786,Contractions Errors,He's car needs a new engine.,His car needs a new engine.
1787,Contractions Errors,The restaurant is known for they're pizza.,The restaurant is known for their pizza.
1788,Contractions Errors,"The movie was great, but it's ending was sad.","The movie was great, but its ending was sad."
1789,Contractions Errors,She's job is to manage the team's schedule.,Her job is to manage the team's schedule.
1790,Contractions Errors,"They're house is beautiful, but it's location is far.","Their house is beautiful, but its location is far."
1791,Contractions Errors,"I borrowed Tom's bike, it's tires were flat.","I borrowed Tom's bike, its tires were flat."
1792,Contractions Errors,She's shoes are the latest fashion.,Her shoes are the latest fashion.
1793,Contractions Errors,"The plant needs water, it's leaves are wilting.","The plant needs water, its leaves are wilting."
1794,Contractions Errors,"The phone's battery is low, it's screen is dim.","The phone's battery is low, its screen is dim."
1795,Contractions Errors,"The cake's taste was amazing, but it's texture was dry.","The cake's taste was amazing, but its texture was dry."
1796,Contractions Errors,The team lost they're motivation after the loss.,The team lost their motivation after the loss.
1797,Contractions Errors,Their's a problem with the computer's software.,There's a problem with the computer's software.
1798,Contractions Errors,"The car has a dent, it's value has decreased.","The car has a dent, its value has decreased."
1799,Contractions Errors,"The city's infrastructure needs improvement, it's roads are damaged.","The city's infrastructure needs improvement, its roads are damaged."
1800,Contractions Errors,Her's idea was innovative and successful.,Her idea was innovative and successful.
1801,Contractions Errors,"The library is quiet, it's atmosphere is perfect for studying.","The library is quiet, its atmosphere is perfect for studying."
1802,Contractions Errors,"The school's reputation has improved, it's ranking is higher.","The school's reputation has improved, its ranking is higher."
1803,Contractions Errors,He's watch is expensive and luxurious.,His watch is expensive and luxurious.
1804,Contractions Errors,She's earrings are made of gold.,Her earrings are made of gold.
1805,Contractions Errors,"The company's policies are strict, they're employees must follow them.","The company's policies are strict, their employees must follow them."
1806,Contractions Errors,"The phone's camera is impressive, it's pictures are high quality.","The phone's camera is impressive, its pictures are high quality."
1807,Contractions Errors,The artist is famous for they're unique style.,The artist is famous for their unique style.
1808,Contractions Errors,"The robot's programming is advanced, it's abilities are impressive.","The robot's programming is advanced, its abilities are impressive."
1809,Contractions Errors,"The mountain's peak is covered in snow, it's view is breathtaking.","The mountain's peak is covered in snow, its view is breathtaking."
1810,Contractions Errors,"The dog's fur is soft, it's coat is well-groomed.","The dog's fur is soft, its coat is well-groomed."
1811,Contractions Errors,"The sun's rays are strong, they're making the day hot.","The sun's rays are strong, they're making the day hot."
1812,Contractions Errors,"The software has a bug, it's performance is slow.","The software has a bug, its performance is slow."
1813,Contractions Errors,"The store's sale is popular, they're discounts are great.","The store's sale is popular, their discounts are great."
1814,Contractions Errors,Their's no denying that the Earth is round.,There's no denying that the Earth is round.
1815,Contractions Errors,She's hair is long and curly.,Her hair is long and curly.
1816,Contractions Errors,"The bird's song is beautiful, it's melody is soothing.","The bird's song is beautiful, its melody is soothing."
1817,Contractions Errors,"The recipe's secret ingredient is cinnamon, it's flavor is unique.","The recipe's secret ingredient is cinnamon, its flavor is unique."
1818,Contractions Errors,"The project's deadline is approaching, they're team is working hard.","The project's deadline is approaching, their team is working hard."
1819,Relative Clause Errors,The man which bought the car was happy.,The man who bought the car was happy.
1820,Relative Clause Errors,The cake I ate it for dessert was delicious.,The cake I ate for dessert was delicious.
1821,Relative Clause Errors,I met a woman has three dogs.,I met a woman who has three dogs.
1822,Relative Clause Errors,This is the book I told you about.,This is the book that I told you about.
1823,Relative Clause Errors,"The cookies, I baked them yesterday, are all gone.",The cookies that I baked yesterday are all gone.
1824,Relative Clause Errors,People live in the city are usually busy.,People who live in the city are usually busy.
1825,Relative Clause Errors,The table I bought it last week is damaged.,The table that I bought last week is damaged.
1826,Relative Clause Errors,She's the teacher teaches math at our school.,She's the teacher who teaches math at our school.
1827,Relative Clause Errors,The store which sells electronics is closing down.,The store that sells electronics is closing down.
1828,Relative Clause Errors,I have a friend is a doctor.,I have a friend who is a doctor.
1829,Relative Clause Errors,The movie we watched yesterday was boring.,The movie that we watched yesterday was boring.
1830,Relative Clause Errors,The artist paintings are in the gallery is very talented.,The artist whose paintings are in the gallery is very talented.
1831,Relative Clause Errors,The car I sold it last year was my favorite.,The car that I sold last year was my favorite.
1832,Relative Clause Errors,The conference people were discussing climate change ended yesterday.,The conference where people were discussing climate change ended yesterday.
1833,Relative Clause Errors,The hotel I stayed in it had great service.,The hotel where I stayed had great service.
1834,Relative Clause Errors,The phone which I found on the street belongs to Sarah.,The phone that I found on the street belongs to Sarah.
1835,Relative Clause Errors,The dress she wore it to the party was stunning.,The dress that she wore to the party was stunning.
1836,Relative Clause Errors,The restaurant we ate dinner is famous for its seafood.,The restaurant where we ate dinner is famous for its seafood.
1837,Relative Clause Errors,"My brother, works at the bank, is visiting tomorrow.","My brother, who works at the bank, is visiting tomorrow."
1838,Relative Clause Errors,The book I'm reading it is about mindfulness.,The book that I'm reading is about mindfulness.
1839,Relative Clause Errors,The building the construction site is very tall.,The building at the construction site is very tall.
1840,Relative Clause Errors,The person I talked to him on the phone was very helpful.,The person to whom I talked on the phone was very helpful.
1841,Relative Clause Errors,The computer I'm using it for work needs an upgrade.,The computer that I'm using for work needs an upgrade.
1842,Relative Clause Errors,The museum exhibits ancient artifacts is in London.,The museum that exhibits ancient artifacts is in London.
1843,Relative Clause Errors,The town I grew up is small and quiet.,The town where I grew up is small and quiet.
1844,Relative Clause Errors,The company I work for it has a great benefits package.,The company for which I work has a great benefits package.
1845,Relative Clause Errors,The actor won an award is known for his versatility.,The actor who won an award is known for his versatility.
1846,Relative Clause Errors,The shoes she bought them last month are already worn out.,The shoes that she bought last month are already worn out.
1847,Relative Clause Errors,The bike which I ride to work is green.,The bike that I ride to work is green.
1848,Relative Clause Errors,The cafe I had breakfast was cozy.,The cafe where I had breakfast was cozy.
1849,Relative Clause Errors,The team I support it is from my hometown.,The team that I support is from my hometown.
1850,Relative Clause Errors,The flowers I planted them last spring have bloomed.,The flowers that I planted last spring have bloomed.
1851,Relative Clause Errors,The author book I'm reading is from Ireland.,The author whose book I'm reading is from Ireland.
1852,Relative Clause Errors,The meeting will be held at the office has a large conference room.,The meeting will be held at the office that has a large conference room.
1853,Relative Clause Errors,"The bus, I take it every day, was late this morning.",The bus that I take every day was late this morning.
1854,Relative Clause Errors,The girl found the lost puppy was very kind.,The girl who found the lost puppy was very kind.
1855,Relative Clause Errors,The store I bought the shirt is having a sale.,The store where I bought the shirt is having a sale.
1856,Relative Clause Errors,The recipe I tried it last night was delicious.,The recipe that I tried last night was delicious.
1857,Relative Clause Errors,The park people play soccer is near my house.,The park where people play soccer is near my house.
1858,Relative Clause Errors,The mechanic fixed my car is very skilled.,The mechanic who fixed my car is very skilled.
1859,Relative Clause Errors,The magazine I subscribed to it is about photography.,The magazine that I subscribed to is about photography.
1860,Relative Clause Errors,The city I visited last summer has beautiful architecture.,The city that I visited last summer has beautiful architecture.
1861,Relative Clause Errors,The shirt I spilled coffee on it is ruined.,The shirt on which I spilled coffee is ruined.
1862,Relative Clause Errors,The concert we went to it last night was amazing.,The concert that we went to last night was amazing.
1863,Relative Clause Errors,The college my sister attends it has a beautiful campus.,The college that my sister attends has a beautiful campus.
1864,Relative Clause Errors,The machine I'm using it at the gym is broken.,The machine that I'm using at the gym is broken.
1865,Relative Clause Errors,The apartment I live in it has a great view.,The apartment where I live has a great view.
1866,Relative Clause Errors,The company the job offer came from is well-known.,The company from which the job offer came is well-known.
1867,Relative Clause Errors,The park I walk my dog is just down the street.,The park where I walk my dog is just down the street.
1868,Relative Clause Errors,The phone I dropped it in water is no longer working.,The phone that I dropped in water is no longer working.
1869,Relative Clause Errors,The beach we went to it last weekend was crowded.,The beach that we went to last weekend was crowded.
1870,Infinitive Errors,He decided to quickly finish his homework.,He decided to finish his homework quickly.
1871,Infinitive Errors,She wants to in the future study computer science.,She wants to study computer science in the future.
1872,Infinitive Errors,I'm going to not eat junk food anymore.,I'm not going to eat junk food anymore.
1873,Infinitive Errors,We need to completely revise our marketing strategy.,We need to revise our marketing strategy completely.
1874,Infinitive Errors,They hope to soon launch a new product.,They hope to launch a new product soon.
1875,Infinitive Errors,"To safely store the chemicals, use airtight containers.","To store the chemicals safely, use airtight containers."
1876,Infinitive Errors,She aspires to professionally become a dancer.,She aspires to become a professional dancer.
1877,Infinitive Errors,The architect planned to creatively design the building.,The architect planned to design the building creatively.
1878,Infinitive Errors,They're trying to efficiently manage their time.,They're trying to manage their time efficiently.
1879,Infinitive Errors,He always forgets to carefully proofread his essays.,He always forgets to proofread his essays carefully.
1880,Infinitive Errors,The scientist aimed to accurately record all the data.,The scientist aimed to record all the data accurately.
1881,Infinitive Errors,She wanted to gracefully perform on stage.,She wanted to perform on stage gracefully.
1882,Infinitive Errors,The mechanic advised to regularly check the oil levels.,The mechanic advised to check the oil levels regularly.
1883,Infinitive Errors,The teacher told us to actively participate in class.,The teacher told us to participate actively in class.
1884,Infinitive Errors,"To successfully complete the project, we need more resources.","To complete the project successfully, we need more resources."
1885,Infinitive Errors,The chef tried to perfectly cook the steak.,The chef tried to cook the steak perfectly.
1886,Infinitive Errors,The manager asked to promptly submit our reports.,The manager asked to submit our reports promptly.
1887,Infinitive Errors,He plans to eventually write a book about his travels.,He plans to write a book about his travels eventually.
1888,Infinitive Errors,She wanted to privately speak with her supervisor.,She wanted to speak privately with her supervisor.
1889,Infinitive Errors,The athlete aimed to continuously improve his performance.,The athlete aimed to improve his performance continuously.
1890,Infinitive Errors,The gardener decided to systematically water the plants.,The gardener decided to water the plants systematically.
1891,Infinitive Errors,"To thoroughly clean the house, we hired a professional.","To clean the house thoroughly, we hired a professional."
1892,Infinitive Errors,The tourists wanted to leisurely explore the city.,The tourists wanted to explore the city leisurely.
1893,Infinitive Errors,The director instructed to subtly change the scene.,The director instructed to change the scene subtly.
1894,Infinitive Errors,He promised to immediately call when he arrived.,He promised to call immediately when he arrived.
1895,Infinitive Errors,The author tried to eloquently express her thoughts.,The author tried to express her thoughts eloquently.
1896,Infinitive Errors,She decided to permanently delete her social media accounts.,She decided to delete her social media accounts permanently.
1897,Infinitive Errors,He asked her to slowly explain the process.,He asked her to explain the process slowly.
1898,Infinitive Errors,The driver decided to cautiously navigate the icy road.,The driver decided to navigate the icy road cautiously.
1899,Infinitive Errors,"To effectively communicate, listen carefully to others.","To communicate effectively, listen carefully to others."
1900,Infinitive Errors,The team wanted to collectively make a decision.,The team wanted to make a decision collectively.
1901,Infinitive Errors,He aimed to dramatically improve his grades.,He aimed to improve his grades dramatically.
1902,Infinitive Errors,The company decided to strategically invest in new ventures.,The company decided to invest strategically in new ventures.
1903,Infinitive Errors,She tried to persuasively argue her point.,She tried to argue her point persuasively.
1904,Infinitive Errors,The artist wanted to uniquely express himself.,The artist wanted to express himself uniquely.
1905,Infinitive Errors,"To efficiently use energy, turn off lights when not in use.","To use energy efficiently, turn off lights when not in use."
